model,evaluation,mae_cycles,rmse_cycles,r2
Dummy Mean Baseline,holdout,197.6597402597403,243.02498941087973,-0.08403679827758248
Ridge Regression,holdout,57.937903839926335,77.71203683173371,0.8891543273940473
Random Forest,holdout,66.80190168462495,108.31348774117004,0.7846686614220892
Ridge Regression,5-fold CV mean,108.11918061996057,169.51716368218382,0.7071572723030964
Random Forest,5-fold CV mean,97.77584466094973,145.9907708527312,0.7754022847117182
